,time,open,high,low,close,volume
0,2006-12-21,12.61,12.61,12.61,12.61,18580
1,2006-12-22,12.41,12.41,11.98,11.98,4590
2,2006-12-25,11.98,11.98,11.39,11.39,10
3,2006-12-26,11.39,11.39,10.84,10.84,96450
4,2006-12-27,10.84,10.84,10.64,10.64,61000
5,2006-12-28,10.13,10.13,10.13,10.13,21800
6,2006-12-29,9.85,9.85,9.66,9.66,44690
7,2007-01-02,9.18,9.18,9.18,9.18,33400
8,2007-01-03,9.18,9.62,9.18,9.62,16620
9,2007-01-04,10.09,10.09,10.09,10.09,5450
10,2007-01-05,10.52,10.56,10.52,10.56,25450
11,2007-01-08,11.07,11.07,11.07,11.07,85650
12,2007-01-09,11.35,11.59,11.35,11.59,54340
13,2007-01-10,11.59,11.63,11.59,11.59,23540
14,2007-01-11,11.43,11.43,11.04,11.23,22780
15,2007-01-12,10.68,10.84,10.68,10.84,17630
16,2007-01-15,10.37,10.84,10.37,10.84,4920
17,2007-01-16,10.84,11.23,10.84,11.23,28460
18,2007-01-17,11.23,11.43,11.23,11.23,32310
19,2007-01-18,10.68,10.84,10.68,10.84,57650
20,2007-01-19,11.23,11.23,10.84,10.84,20390
21,2007-01-22,10.44,10.96,10.44,10.84,41610
22,2007-01-23,10.84,11.0,10.84,10.84,24800
23,2007-01-24,10.84,10.84,10.64,10.64,5060
24,2007-01-25,10.64,10.64,10.64,10.64,10380
25,2007-01-26,10.13,10.13,10.13,10.13,3910
26,2007-01-29,10.13,10.6,10.13,10.25,13650
27,2007-01-30,10.76,10.76,10.64,10.64,18830
28,2007-01-31,10.84,10.84,10.76,10.76,17810
29,2007-02-01,10.64,10.72,10.64,10.64,10970
30,2007-02-02,10.72,10.72,10.72,10.72,4300
31,2007-02-05,10.21,10.68,10.21,10.68,3360
32,2007-02-06,10.68,10.68,10.64,10.64,4230
33,2007-02-07,10.44,10.64,10.44,10.44,6110
34,2007-02-08,10.44,10.44,10.44,10.44,5240
35,2007-02-09,10.44,10.48,10.44,10.48,18860
36,2007-02-12,10.48,11.0,10.48,11.0,20590
37,2007-02-13,11.43,11.43,11.0,11.0,1600
38,2007-02-14,11.0,11.51,11.0,11.23,17160
39,2007-02-15,10.68,11.23,10.68,11.23,2050
40,2007-02-26,11.27,11.27,11.27,11.27,9140
41,2007-02-27,11.27,11.27,11.15,11.15,10830
42,2007-02-28,11.15,11.15,11.07,11.07,47740
43,2007-03-01,10.88,11.07,10.88,10.88,9550
44,2007-03-02,10.76,11.27,10.76,11.07,24800
45,2007-03-05,11.07,11.07,10.88,11.07,34830
46,2007-03-06,11.07,11.47,10.68,11.47,36600
47,2007-03-07,11.47,11.47,11.47,11.47,8850
48,2007-03-08,11.47,11.47,11.07,11.07,1950
49,2007-03-09,11.07,11.43,11.07,11.07,18880
50,2007-03-12,10.52,11.0,10.52,11.0,4620
51,2007-03-13,11.07,11.07,10.68,10.68,5200
52,2007-03-14,10.28,10.32,10.28,10.32,1630
53,2007-03-15,10.28,10.28,10.28,10.28,5220
54,2007-03-16,10.8,10.8,9.89,9.89,21900
55,2007-03-19,10.36,10.36,10.36,10.36,11300
56,2007-03-20,10.88,10.88,10.88,10.88,8800
57,2007-03-21,10.88,11.07,10.88,11.07,5570
58,2007-03-22,11.07,11.07,10.68,10.68,1610
59,2007-03-23,10.28,10.28,10.28,10.28,12800
60,2007-03-26,10.09,10.09,10.05,10.05,15510
61,2007-03-27,10.05,10.05,10.05,10.05,7100
62,2007-03-28,9.97,9.97,9.89,9.97,9290
63,2007-03-29,10.44,10.44,10.24,10.24,26110
64,2007-03-30,10.24,10.4,10.24,10.4,48180
65,2007-04-02,10.28,10.4,10.28,10.4,36500
66,2007-04-03,10.2,10.28,10.2,10.28,22040
67,2007-04-04,10.28,10.28,10.28,10.28,20390
68,2007-04-05,10.4,10.4,10.2,10.2,3820
69,2007-04-06,10.24,10.24,9.89,10.24,3090
70,2007-04-09,10.24,10.24,10.2,10.2,4870
71,2007-04-10,10.28,10.32,10.16,10.32,23900
72,2007-04-11,10.48,10.68,10.48,10.68,16650
73,2007-04-12,10.88,10.88,10.68,10.68,14810
74,2007-04-13,10.32,10.32,10.32,10.32,13600
75,2007-04-16,10.32,10.32,10.24,10.24,4890
76,2007-04-17,10.09,10.09,10.09,10.09,33360
77,2007-04-18,10.09,10.09,10.09,10.09,33720
78,2007-04-19,10.09,10.24,10.09,10.09,10220
79,2007-04-20,10.24,10.24,9.85,9.85,5530
80,2007-04-23,10.05,10.05,9.37,9.49,17890
81,2007-04-24,9.89,9.89,9.1,9.14,6130
82,2007-04-25,9.37,9.37,9.29,9.29,4910
83,2007-05-02,9.29,9.45,9.29,9.29,10740
84,2007-05-03,9.69,9.69,9.69,9.69,3650
85,2007-05-04,9.89,9.89,9.69,9.69,4830
86,2007-05-07,10.16,10.16,10.16,10.16,11070
87,2007-05-08,10.64,10.64,10.64,10.64,12840
88,2007-05-09,11.15,11.15,10.88,10.88,48890
89,2007-05-10,10.88,10.88,10.68,10.68,7000
90,2007-05-11,10.54,10.9,10.54,10.9,23920
91,2007-05-14,11.09,11.09,11.06,11.06,15590
92,2007-05-15,11.09,11.09,10.94,10.94,7490
93,2007-05-16,10.54,10.86,10.54,10.7,5160
94,2007-05-17,10.7,10.7,10.7,10.7,8620
95,2007-05-18,10.7,10.9,10.7,10.9,7980
96,2007-05-21,11.06,11.17,11.06,11.17,48880
97,2007-05-22,11.73,11.73,11.73,11.73,57300
98,2007-05-23,12.28,12.28,12.28,12.28,57950
99,2007-05-24,11.89,11.89,11.89,11.89,28460
100,2007-05-25,11.49,11.81,11.49,11.81,18390
101,2007-05-28,12.09,12.13,12.09,12.13,41300
102,2007-05-29,12.13,12.16,12.13,12.16,35420
103,2007-05-30,12.16,12.16,12.09,12.09,32830
104,2007-05-31,12.09,12.28,12.09,12.28,31280
105,2007-06-01,12.28,12.68,12.28,12.68,61720
106,2007-06-04,12.88,13.27,12.88,13.19,39080
107,2007-06-05,13.19,13.47,13.19,13.47,62530
108,2007-06-06,13.47,13.47,12.88,12.88,8000
109,2007-06-07,13.49,13.49,13.49,13.49,20650
110,2007-06-08,13.49,13.49,13.49,13.49,32710
111,2007-06-11,13.49,14.13,13.49,13.49,24320
112,2007-06-12,14.0,14.0,13.49,13.49,17320
113,2007-06-13,14.0,14.0,13.58,13.58,22840
114,2007-06-14,14.0,14.22,14.0,14.22,36100
115,2007-06-15,14.64,14.9,14.64,14.9,55700
116,2007-06-18,15.49,15.62,15.49,15.62,48130
117,2007-06-19,16.38,16.38,16.38,16.38,41150
118,2007-06-20,16.38,16.38,16.13,16.13,25650
119,2007-06-21,15.62,15.62,15.32,15.32,14070
120,2007-06-22,15.32,16.04,15.32,16.04,51320
121,2007-06-25,16.8,16.8,16.8,16.8,43280
122,2007-06-26,17.36,17.36,17.36,17.36,10050
123,2007-06-27,17.4,17.4,17.36,17.36,19470
124,2007-06-28,16.97,17.61,16.97,17.61,35110
125,2007-06-29,17.82,18.46,17.82,18.46,68330
126,2007-07-02,18.46,18.46,18.46,18.46,27660
127,2007-07-03,17.61,17.61,17.57,17.57,2490
128,2007-07-04,18.25,18.25,17.82,17.82,18910
129,2007-07-05,17.82,17.82,17.82,17.82,18740
130,2007-07-06,17.4,17.4,17.4,17.4,11660
131,2007-07-09,17.19,17.61,17.14,17.61,5280
132,2007-07-10,17.82,18.38,17.82,18.38,22210
133,2007-07-11,19.27,19.27,19.27,19.27,57540
134,2007-07-12,19.95,19.95,18.88,18.88,9340
135,2007-07-13,18.67,18.67,18.16,18.16,10180
136,2007-07-16,18.16,18.16,17.48,17.48,9730
137,2007-07-17,17.48,17.48,17.44,17.44,18420
138,2007-07-18,17.4,17.4,17.4,17.4,13510
139,2007-07-19,16.97,16.97,16.8,16.8,12120
140,2007-07-20,16.47,16.47,16.0,16.13,16220
141,2007-07-23,16.13,16.93,16.13,16.93,4380
142,2007-07-24,17.74,17.74,16.93,16.93,28680
143,2007-07-25,16.64,17.31,16.55,17.31,22690
144,2007-07-26,17.31,17.31,16.47,16.47,3110
145,2007-07-27,16.55,16.55,16.55,16.55,5870
146,2007-07-30,16.76,16.55,15.74,16.55,8090
147,2007-07-31,16.55,16.55,16.13,16.55,11810
148,2007-08-01,16.55,16.76,16.55,16.55,13580
149,2007-08-02,16.55,16.55,16.47,16.51,5660
150,2007-08-03,16.38,16.51,16.34,16.38,5050
151,2007-08-06,16.47,16.38,16.13,16.13,4360
152,2007-08-07,16.55,16.93,16.13,16.93,49530
153,2007-08-08,16.93,17.14,16.89,16.97,6780
154,2007-08-09,16.97,16.97,16.97,16.97,7620
155,2007-08-10,16.97,16.97,16.38,16.97,9740
156,2007-08-13,16.55,16.55,16.47,16.47,5640
157,2007-08-14,16.55,17.19,16.51,16.55,16560
158,2007-08-15,17.4,17.4,16.55,16.55,2270
159,2007-08-16,16.38,16.51,16.38,16.42,9310
160,2007-08-17,16.76,18.21,16.13,16.21,14010
161,2007-08-20,16.55,16.55,16.55,16.55,12160
162,2007-08-21,16.76,16.76,16.55,16.76,6450
163,2007-08-22,16.55,16.72,16.55,16.55,4820
164,2007-08-23,16.55,16.55,16.34,16.55,4720
165,2007-08-24,16.55,16.64,16.51,16.64,8280
166,2007-08-27,16.55,16.64,16.55,16.55,13760
167,2007-08-28,16.47,16.55,16.47,16.47,2430
168,2007-08-29,16.47,16.51,16.34,16.47,15410
169,2007-08-30,16.42,16.47,16.42,16.42,5530
170,2007-08-31,16.47,16.47,16.34,16.47,5480
171,2007-09-04,16.55,16.55,16.34,16.55,9790
172,2007-09-05,16.55,16.55,16.38,16.55,12210
173,2007-09-06,16.55,16.55,16.47,16.47,15510
174,2007-09-07,16.38,16.51,16.38,16.47,11290
175,2007-09-10,16.47,16.47,16.34,16.34,9840
176,2007-09-11,16.21,16.34,16.13,16.13,21040
177,2007-09-12,16.38,16.47,16.38,16.47,24910
178,2007-09-13,16.34,16.34,16.34,16.34,1850
179,2007-09-14,16.42,16.42,16.34,16.34,2780
180,2007-09-17,16.34,16.34,16.3,16.34,1750
181,2007-09-18,16.25,16.34,16.21,16.3,7850
182,2007-09-19,16.3,16.3,16.17,16.3,2260
183,2007-09-20,16.34,16.47,16.3,16.47,13610
184,2007-09-21,16.47,16.47,16.34,16.42,4430
185,2007-09-24,16.47,16.47,16.13,16.38,3350
186,2007-09-25,16.42,16.47,16.38,16.42,13020
187,2007-09-26,16.55,16.76,16.47,16.47,13960
188,2007-09-27,16.47,16.47,16.42,16.47,5510
189,2007-09-28,16.47,17.27,16.47,16.97,43660
190,2007-10-01,17.36,17.78,17.1,17.78,37960
191,2007-10-02,18.25,18.25,17.4,17.78,9570
192,2007-10-03,17.27,17.82,17.27,17.82,22620
193,2007-10-04,17.82,17.82,16.93,16.93,39570
194,2007-10-05,16.93,17.74,16.93,17.74,17280
195,2007-10-08,17.27,17.74,17.27,17.57,16930
196,2007-10-09,17.57,17.61,17.06,17.61,44870
197,2007-10-10,17.78,17.78,17.61,17.61,19300
198,2007-10-11,17.48,17.82,17.44,17.48,28550
199,2007-10-12,18.29,18.33,17.99,18.33,66020
200,2007-10-15,19.22,19.22,19.18,19.22,27330
201,2007-10-16,20.12,20.16,19.52,19.95,29320
202,2007-10-17,19.52,19.65,19.39,19.39,19670
203,2007-10-18,19.31,19.31,18.71,19.1,35690
204,2007-10-19,18.67,19.18,18.67,19.18,24020
205,2007-10-22,19.1,19.48,19.1,19.31,25050
206,2007-10-23,19.44,19.44,19.05,19.05,64120
207,2007-10-24,19.42,19.5,19.29,19.5,9600
208,2007-10-25,19.5,19.5,18.95,18.95,30460
209,2007-10-26,19.16,19.88,19.12,19.88,42600
210,2007-10-29,19.88,19.88,19.29,19.29,32090
211,2007-10-30,19.59,20.23,19.59,20.23,69350
212,2007-10-31,21.2,21.2,21.2,21.2,25210
213,2007-11-01,22.23,22.23,22.23,22.23,19300
214,2007-11-02,23.33,23.33,22.27,23.33,248630
215,2007-11-05,23.59,23.76,23.33,23.55,76650
216,2007-11-06,23.59,23.59,23.21,23.21,68400
217,2007-11-07,22.14,22.57,22.06,22.06,71400
218,2007-11-08,22.57,22.57,22.14,22.23,73620
219,2007-11-09,22.14,22.14,21.8,21.8,41360
220,2007-11-12,21.8,21.89,21.72,21.89,56090
221,2007-11-13,22.91,22.91,21.12,21.12,108210
222,2007-11-14,22.06,22.14,22.06,22.14,60010
223,2007-11-15,22.99,22.99,22.31,22.74,86770
224,2007-11-16,22.91,22.91,22.74,22.91,68960
225,2007-11-19,22.99,23.08,22.82,22.91,37650
226,2007-11-20,22.14,22.91,22.14,22.31,29930
227,2007-11-21,21.8,21.97,21.72,21.89,28720
228,2007-11-22,21.89,22.14,21.89,21.97,13540
229,2007-11-23,21.97,21.97,21.29,21.54,19970
230,2007-11-26,21.63,21.72,21.29,21.63,13680
231,2007-11-27,21.63,22.06,21.54,22.06,38250
232,2007-11-28,22.14,22.57,22.06,22.57,48710
233,2007-11-29,21.97,22.57,21.97,22.31,38440
234,2007-11-30,22.14,22.31,22.06,22.06,27280
