,time,open,high,low,close,volume
0,2017-12-18,7.99,0.0,0.0,0.0,0
1,2017-12-19,7.99,7.99,7.99,7.99,0
2,2017-12-20,7.99,7.99,7.99,7.99,0
3,2017-12-21,7.99,7.99,7.99,7.99,0
4,2017-12-22,7.99,7.99,7.99,7.99,0
5,2017-12-25,7.99,7.99,7.99,7.99,0
6,2017-12-26,7.99,7.99,7.99,7.99,0
7,2017-12-27,7.99,7.99,7.99,7.99,0
8,2017-12-28,7.99,7.99,7.99,7.99,0
9,2017-12-29,7.99,7.99,7.99,7.99,0
10,2018-01-02,7.99,7.99,7.99,7.99,0
11,2018-01-03,7.99,7.99,7.99,7.99,0
12,2018-01-04,7.99,7.99,7.99,7.99,0
13,2018-01-05,7.99,7.99,7.99,7.99,0
14,2018-01-08,7.99,7.99,7.99,7.99,0
15,2018-01-09,7.99,7.99,7.99,7.99,0
16,2018-01-10,7.99,7.99,7.99,7.99,0
17,2018-01-11,7.99,7.99,7.99,7.99,0
18,2018-01-12,7.99,7.99,7.99,7.99,0
19,2018-01-15,7.99,7.99,7.99,7.99,0
20,2018-01-16,7.99,7.99,7.99,7.99,0
21,2018-01-17,7.99,7.99,7.99,7.99,0
22,2018-01-18,7.99,7.99,7.99,7.99,0
23,2018-01-19,7.99,7.99,7.99,7.99,0
24,2018-01-22,7.99,7.99,7.99,7.99,0
25,2018-01-23,7.99,7.99,7.99,7.99,0
26,2018-01-24,7.99,7.99,7.99,7.99,0
27,2018-01-25,7.99,7.99,7.99,7.99,0
28,2018-01-26,7.99,7.99,7.99,7.99,0
29,2018-01-29,7.99,7.99,7.99,7.99,0
30,2018-01-30,7.99,7.99,7.99,7.99,0
31,2018-01-31,7.99,7.99,7.99,7.99,0
32,2018-02-01,7.99,7.99,7.99,7.99,0
33,2018-02-02,7.99,7.99,7.99,7.99,0
34,2018-02-05,7.99,7.99,7.99,7.99,0
35,2018-02-06,7.99,7.99,7.99,7.99,0
36,2018-02-07,7.99,7.99,7.99,7.99,0
37,2018-02-08,7.99,7.99,7.99,7.99,0
38,2018-02-09,7.99,7.99,7.99,7.99,0
39,2018-02-12,7.99,7.99,7.99,7.99,0
40,2018-02-13,7.99,7.99,7.99,7.99,0
41,2018-02-21,7.99,7.99,7.99,7.99,0
42,2018-02-22,7.99,7.99,7.99,7.99,0
43,2018-02-23,7.99,7.99,7.99,7.99,0
44,2018-02-26,7.99,7.99,7.99,7.99,0
45,2018-02-27,7.99,7.99,7.99,7.99,0
46,2018-02-28,7.99,7.99,7.99,7.99,0
47,2018-03-01,7.99,7.99,7.99,7.99,0
48,2018-03-02,7.99,7.99,7.99,7.99,0
49,2018-03-05,7.99,7.99,7.99,7.99,0
50,2018-03-06,7.99,7.99,7.99,7.99,0
51,2018-03-07,7.99,7.99,7.99,7.99,0
52,2018-03-08,7.99,7.99,7.99,7.99,0
53,2018-03-09,7.99,7.99,7.99,7.99,0
54,2018-03-12,7.99,7.99,7.99,7.99,0
55,2018-03-13,7.99,7.99,7.99,7.99,0
56,2018-03-14,7.99,7.99,7.99,7.99,0
57,2018-03-15,7.99,7.99,7.99,7.99,0
58,2018-03-16,7.99,7.99,7.99,7.99,0
59,2018-03-19,7.99,7.99,7.99,7.99,0
60,2018-03-20,7.99,7.99,7.99,7.99,0
61,2018-03-21,7.99,7.99,7.99,7.99,0
62,2018-03-22,7.99,7.99,7.99,7.99,0
63,2018-03-23,7.99,7.99,7.99,7.99,0
64,2018-03-26,7.99,7.99,7.99,7.99,0
65,2018-03-27,7.99,7.99,7.99,7.99,0
66,2018-03-28,7.99,7.99,7.99,7.99,0
67,2018-03-29,7.99,7.99,7.99,7.99,0
68,2018-03-30,7.99,7.99,7.99,7.99,0
69,2018-04-02,7.99,7.99,7.99,7.99,0
70,2018-04-03,7.99,7.99,7.99,7.99,0
71,2018-04-04,7.99,7.99,7.99,7.99,0
72,2018-04-05,7.99,7.99,7.99,7.99,0
73,2018-04-06,7.99,7.99,7.99,7.99,0
74,2018-04-09,7.99,7.99,7.99,7.99,0
75,2018-04-10,7.99,7.99,7.99,7.99,0
76,2018-04-11,7.99,7.99,7.99,7.99,0
77,2018-04-12,7.99,7.99,7.99,7.99,0
78,2018-04-13,7.99,7.99,7.99,7.99,0
79,2018-04-16,7.99,7.99,7.99,7.99,0
80,2018-04-17,7.99,7.99,7.99,7.99,0
81,2018-04-18,7.99,7.99,7.99,7.99,0
82,2018-04-19,7.99,7.99,7.99,7.99,0
83,2018-04-20,7.99,7.99,7.99,7.99,0
84,2018-04-23,7.99,7.99,7.99,7.99,0
85,2018-04-24,7.99,7.99,7.99,7.99,0
86,2018-04-26,7.99,7.99,7.99,7.99,0
87,2018-04-27,7.99,7.99,7.99,7.99,0
88,2018-05-02,7.99,7.99,7.99,7.99,0
89,2018-05-03,7.99,7.99,7.99,7.99,0
90,2018-05-04,7.99,7.99,7.99,7.99,0
91,2018-05-07,7.99,7.99,7.99,7.99,0
92,2018-05-08,7.99,7.99,7.99,7.99,0
93,2018-05-09,7.99,7.99,7.99,7.99,0
94,2018-05-10,7.99,7.99,7.99,7.99,0
95,2018-05-11,7.99,7.99,7.99,7.99,0
96,2018-05-14,7.99,7.99,7.99,7.99,0
97,2018-05-15,7.99,7.99,7.99,7.99,0
98,2018-05-16,7.99,7.99,7.99,7.99,0
99,2018-05-17,7.99,7.99,7.99,7.99,0
100,2018-05-18,7.99,7.99,7.99,7.99,0
101,2018-05-21,7.99,7.99,7.99,7.99,0
102,2018-05-22,7.99,7.99,7.99,7.99,0
103,2018-05-23,7.99,7.99,7.99,7.99,0
104,2018-05-24,7.99,7.99,7.99,7.99,0
105,2018-05-25,7.99,7.99,7.99,7.99,0
106,2018-05-28,7.99,7.99,7.99,7.99,0
107,2018-05-29,7.99,7.99,7.99,7.99,0
108,2018-05-30,7.99,7.99,7.99,7.99,0
109,2018-05-31,7.99,7.99,7.99,7.99,0
110,2018-06-01,7.99,7.99,7.99,7.99,0
111,2018-06-04,7.99,7.99,7.99,7.99,0
112,2018-06-05,7.99,7.99,7.99,7.99,0
113,2018-06-06,7.99,7.99,7.99,7.99,0
114,2018-06-07,7.99,7.99,7.99,7.99,0
115,2018-06-08,7.99,7.99,7.99,7.99,0
116,2018-06-11,7.99,7.99,7.99,7.99,0
117,2018-06-12,7.99,7.99,7.99,7.99,0
118,2018-06-13,7.99,7.99,7.99,7.99,0
119,2018-06-14,7.99,7.99,7.99,7.99,0
120,2018-06-15,7.99,7.99,7.99,7.99,0
121,2018-06-18,7.99,7.99,7.99,7.99,0
122,2018-06-19,7.99,7.99,7.99,7.99,0
123,2018-06-20,7.99,7.99,7.99,7.99,0
124,2018-06-21,7.99,7.99,7.99,7.99,0
125,2018-06-22,7.99,7.99,7.99,7.99,0
126,2018-06-25,7.99,7.99,7.99,7.99,0
127,2018-06-26,7.99,7.99,7.99,7.99,0
128,2018-06-27,7.99,7.99,7.99,7.99,0
129,2018-06-28,7.99,7.99,7.99,7.99,0
130,2018-06-29,7.99,7.99,7.99,7.99,0
131,2018-07-02,7.99,7.99,7.99,7.99,0
132,2018-07-03,7.99,7.99,7.99,7.99,0
133,2018-07-04,7.99,7.99,7.99,7.99,0
134,2018-07-05,7.99,7.99,7.99,7.99,0
135,2018-07-06,7.99,7.99,7.99,7.99,0
136,2018-07-09,7.99,7.99,7.99,7.99,0
137,2018-07-10,7.99,7.99,7.99,7.99,0
138,2018-07-11,7.99,7.99,7.99,7.99,0
139,2018-07-12,7.99,7.99,7.99,7.99,0
140,2018-07-13,7.99,7.99,7.99,7.99,0
141,2018-07-16,7.99,7.99,7.99,7.99,0
142,2018-07-17,7.99,7.99,7.99,7.99,0
143,2018-07-18,7.99,7.99,7.99,7.99,0
144,2018-07-19,7.99,7.99,7.99,7.99,0
145,2018-07-20,7.99,7.99,7.99,7.99,0
146,2018-07-23,7.99,7.99,7.99,7.99,0
147,2018-07-24,7.99,7.99,7.99,7.99,0
148,2018-07-25,7.99,7.99,7.99,7.99,0
149,2018-07-26,7.99,7.99,7.99,7.99,0
150,2018-07-27,7.99,7.99,7.99,7.99,0
151,2018-07-30,7.99,7.99,7.99,7.99,0
152,2018-07-31,7.99,7.99,7.99,7.99,0
