,time,open,high,low,close,volume
0,2016-01-07,3.0,0.0,0.0,0.0,0
1,2016-01-08,3.0,0.0,0.0,0.0,0
2,2016-01-11,3.0,0.0,0.0,0.0,0
3,2016-01-12,3.0,0.0,0.0,0.0,0
4,2016-01-13,3.0,0.0,0.0,0.0,0
5,2016-01-14,3.0,0.0,0.0,0.0,0
6,2016-01-15,3.0,0.0,0.0,0.0,0
7,2016-01-18,3.0,0.0,0.0,0.0,0
8,2016-01-19,3.0,0.0,0.0,0.0,0
9,2016-01-20,3.0,0.0,0.0,0.0,0
10,2016-01-21,3.0,0.0,0.0,0.0,0
11,2016-01-22,3.0,0.0,0.0,0.0,0
12,2016-01-25,3.0,0.0,0.0,0.0,0
13,2016-01-26,3.0,0.0,0.0,0.0,0
14,2016-01-27,3.0,0.0,0.0,0.0,0
15,2016-01-28,3.0,0.0,0.0,0.0,0
16,2016-01-29,3.0,0.0,0.0,0.0,0
17,2016-02-01,3.0,0.0,0.0,0.0,0
18,2016-02-02,3.0,0.0,0.0,0.0,0
19,2016-02-03,3.0,0.0,0.0,0.0,0
20,2016-02-04,3.0,0.0,0.0,0.0,0
21,2016-02-05,3.0,0.0,0.0,0.0,0
22,2016-02-15,3.0,0.0,0.0,0.0,0
23,2016-02-16,3.0,0.0,0.0,0.0,0
24,2016-02-17,3.0,0.0,0.0,0.0,0
25,2016-02-18,3.0,0.0,0.0,0.0,0
26,2016-02-19,3.0,0.0,0.0,0.0,0
27,2016-02-22,3.0,0.0,0.0,0.0,0
28,2016-02-23,3.0,0.0,0.0,0.0,0
29,2016-02-24,3.0,0.0,0.0,0.0,0
30,2016-02-25,3.0,0.0,0.0,0.0,0
31,2016-02-26,3.0,0.0,0.0,0.0,0
32,2016-02-29,3.0,0.0,0.0,0.0,0
33,2016-03-01,3.0,0.0,0.0,0.0,0
34,2016-03-02,3.0,0.0,0.0,0.0,0
35,2016-03-03,3.0,0.0,0.0,0.0,0
36,2016-03-04,3.0,0.0,0.0,0.0,0
37,2016-03-07,3.0,0.0,0.0,0.0,0
38,2016-03-08,3.0,0.0,0.0,0.0,0
39,2016-03-09,3.0,0.0,0.0,0.0,0
