,time,open,high,low,close,volume
0,2009-06-15,17.88,17.88,17.88,17.88,0
1,2009-06-16,19.11,19.11,19.11,19.11,13000
2,2009-06-17,20.43,20.43,17.79,20.43,157200
3,2009-06-18,21.18,21.18,21.18,21.18,32300
4,2009-06-19,22.59,22.59,20.8,21.93,51400
5,2009-06-22,20.71,20.71,20.71,20.71,6600
6,2009-06-23,19.3,19.3,19.3,19.3,700
7,2009-06-24,17.98,19.77,17.98,18.17,39300
8,2009-06-25,17.98,18.36,17.13,17.13,49000
9,2009-06-26,17.41,17.7,16.94,17.04,4200
10,2009-06-29,17.23,17.23,16.1,16.1,9900
11,2009-06-30,16.66,16.66,15.81,15.81,8600
12,2009-07-01,15.72,15.72,15.06,15.06,12000
13,2009-07-02,15.06,16.0,15.06,16.0,5700
14,2009-07-03,16.0,16.19,15.91,16.0,6400
15,2009-07-06,16.47,17.04,16.47,16.94,15800
16,2009-07-07,16.85,16.85,15.63,16.28,5700
17,2009-07-08,16.47,16.47,15.53,16.0,1600
18,2009-07-09,15.91,15.91,15.44,15.44,8400
19,2009-07-10,15.44,15.44,15.06,15.06,2700
20,2009-07-13,14.59,14.87,14.5,14.87,13800
21,2009-07-14,15.25,15.53,15.06,15.06,5500
22,2009-07-15,16.19,16.19,15.53,15.81,2000
23,2009-07-16,16.47,16.47,15.91,15.91,1000
24,2009-07-17,15.25,15.53,15.15,15.25,16100
25,2009-07-20,14.5,15.34,14.5,14.97,3700
26,2009-07-21,14.4,15.06,14.4,14.4,11100
27,2009-07-22,15.53,15.53,14.5,14.5,1700
28,2009-07-23,14.59,15.53,14.59,15.53,7900
29,2009-07-24,16.0,16.1,16.0,16.1,7900
30,2009-07-27,17.13,17.13,16.0,16.38,10100
31,2009-07-28,16.0,16.19,15.63,15.63,16900
32,2009-07-29,15.25,16.0,15.25,15.53,2000
33,2009-07-30,15.34,15.34,15.34,15.34,700
34,2009-07-31,15.06,15.06,14.4,15.06,25400
35,2009-08-03,15.06,15.06,14.68,14.68,9400
36,2009-08-04,15.06,15.06,14.68,14.87,9700
37,2009-08-05,14.68,14.78,14.12,14.12,7900
38,2009-08-06,14.5,14.5,14.21,14.4,7000
39,2009-08-07,14.59,14.78,14.59,14.78,6600
40,2009-08-10,15.53,15.72,15.34,15.72,19800
41,2009-08-11,16.66,16.66,15.81,16.1,24300
42,2009-08-12,16.0,16.1,15.81,15.81,7600
43,2009-08-13,16.19,16.19,15.06,15.06,23500
44,2009-08-14,15.53,15.53,15.06,15.25,5000
45,2009-08-17,15.06,15.15,14.87,15.06,14000
46,2009-08-18,15.25,15.44,15.15,15.34,3400
47,2009-08-19,15.63,15.63,15.34,15.34,10100
48,2009-08-20,15.44,15.53,15.25,15.53,19100
49,2009-08-21,15.53,15.72,15.44,15.44,24800
50,2009-08-24,15.81,16.66,15.81,16.66,65900
51,2009-08-25,17.51,17.51,17.23,17.51,94300
52,2009-08-26,18.73,18.73,17.88,17.88,72500
53,2009-08-27,17.04,18.07,16.94,16.94,54400
54,2009-08-28,17.79,17.88,17.23,17.23,51900
55,2009-08-31,18.45,18.64,17.6,18.07,55500
56,2009-09-01,18.83,18.83,16.94,17.6,31100
57,2009-09-03,17.41,17.88,16.94,16.94,24100
58,2009-09-04,17.13,17.13,16.19,16.19,12900
59,2009-09-07,15.53,16.85,15.53,16.19,23900
60,2009-09-08,16.19,17.13,16.19,17.13,28700
61,2009-09-09,17.13,17.88,16.76,17.88,38300
62,2009-09-10,18.07,18.17,17.79,17.98,64600
63,2009-09-11,18.36,18.83,18.07,18.17,49300
64,2009-09-14,18.54,18.83,17.7,17.88,40600
65,2009-09-15,17.88,18.36,17.23,17.88,24300
66,2009-09-16,17.41,17.88,16.94,17.51,47100
67,2009-09-17,17.23,17.88,17.23,17.51,12800
68,2009-09-18,17.13,17.51,16.76,17.13,32600
69,2009-09-21,17.04,18.17,17.04,18.17,73400
70,2009-09-22,18.36,18.36,16.94,17.7,43400
71,2009-09-23,18.17,18.64,17.41,17.7,33000
72,2009-09-24,17.32,17.32,16.94,16.94,21800
73,2009-09-25,16.94,17.41,16.94,17.23,25600
74,2009-09-28,18.07,18.07,16.94,17.32,34800
75,2009-09-29,17.51,17.51,16.94,17.32,27400
76,2009-09-30,17.51,18.26,17.51,18.26,65300
77,2009-10-01,19.3,19.3,19.3,19.3,29400
78,2009-10-02,20.61,20.61,18.83,20.61,274900
79,2009-10-05,21.84,21.84,19.2,21.09,187100
80,2009-10-06,23.06,23.06,20.24,20.8,106400
81,2009-10-07,20.24,21.18,19.77,19.96,60400
82,2009-10-08,21.18,21.18,19.01,19.58,61400
83,2009-10-09,19.77,20.05,18.83,19.96,62800
84,2009-10-12,20.71,20.8,20.71,20.8,36600
85,2009-10-13,22.12,22.12,19.58,19.58,38700
86,2009-10-14,20.71,20.71,19.77,20.33,32400
87,2009-10-15,21.46,21.46,20.14,20.61,60100
88,2009-10-16,21.18,21.65,20.71,21.37,104500
89,2009-10-19,22.4,22.4,21.27,22.03,105300
90,2009-10-20,23.16,23.16,21.93,22.12,57800
91,2009-10-21,22.59,22.59,20.8,20.8,68800
92,2009-10-22,21.18,21.18,19.77,20.05,94200
93,2009-10-23,19.77,20.61,18.64,19.2,62700
94,2009-10-26,18.92,19.77,18.83,18.92,22800
95,2009-10-27,17.98,18.17,17.98,17.98,50000
96,2009-10-28,17.04,17.98,16.94,17.41,68900
97,2009-10-29,17.13,17.41,16.28,16.57,57400
98,2009-10-30,17.51,17.51,16.94,17.04,26100
99,2009-11-02,16.47,17.04,16.1,16.1,19300
100,2009-11-03,15.15,16.0,15.06,15.06,39400
101,2009-11-04,14.31,15.91,14.21,15.15,16500
102,2009-11-05,15.53,16.1,15.53,16.1,55500
103,2009-11-06,16.0,16.47,15.06,15.06,18900
104,2009-11-09,15.06,15.25,14.87,15.25,25800
105,2009-11-10,14.97,16.0,14.97,16.0,40200
106,2009-11-11,15.63,15.81,15.63,15.81,7700
107,2009-11-12,15.63,15.81,15.06,15.06,21600
108,2009-11-13,15.06,15.53,15.06,15.53,20200
109,2009-11-16,15.53,15.53,15.15,15.15,8600
110,2009-11-17,15.53,15.53,15.06,15.06,19800
111,2009-11-18,14.87,15.34,14.87,15.25,8200
112,2009-11-19,15.25,15.72,15.06,15.63,44800
