,time,open,high,low,close,volume
0,2019-07-04,6.04,6.04,5.89,6.04,68300
1,2019-07-05,5.99,6.34,5.99,6.14,70700
2,2019-07-08,6.19,6.34,6.04,6.34,91300
3,2019-07-09,6.14,6.14,5.99,6.14,60900
4,2019-07-10,6.14,6.14,5.79,5.84,42300
5,2019-07-11,5.63,5.63,5.28,5.53,61500
6,2019-07-12,5.23,5.58,5.23,5.58,33000
7,2019-07-15,5.58,5.58,5.38,5.43,19000
8,2019-07-16,5.38,5.43,4.97,4.97,23100
9,2019-07-17,5.07,5.07,4.97,5.07,19300
10,2019-07-18,5.07,5.13,5.02,5.13,13000
11,2019-07-19,5.07,5.18,4.87,5.18,17100
12,2019-07-22,5.07,5.07,4.72,4.97,12800
13,2019-07-23,4.97,5.02,4.77,4.77,17800
14,2019-07-24,4.77,4.82,4.62,4.62,22000
15,2019-07-25,5.02,5.02,4.57,4.72,15030
16,2019-07-26,4.87,4.87,4.72,4.72,19270
17,2019-07-29,4.62,4.77,4.62,4.67,15600
18,2019-07-30,4.52,4.77,4.52,4.72,14400
19,2019-07-31,4.67,4.87,4.67,4.82,14400
20,2019-08-01,4.77,4.97,4.77,4.87,13900
21,2019-08-02,4.82,4.87,4.77,4.87,13700
22,2019-08-05,4.82,4.87,4.77,4.87,15100
23,2019-08-06,4.82,4.87,4.67,4.72,14300
24,2019-08-07,4.77,4.82,4.72,4.77,12500
25,2019-08-08,5.23,5.23,4.72,4.77,14500
26,2019-08-09,4.77,4.82,4.72,4.82,9700
27,2019-08-12,4.97,4.97,4.82,4.92,19100
28,2019-08-13,4.97,5.33,4.92,5.33,15600
29,2019-08-14,5.02,5.28,5.02,5.28,17900
30,2019-08-15,5.07,5.18,5.07,5.18,15500
31,2019-08-16,5.07,5.23,4.97,5.23,15900
32,2019-08-19,5.07,5.53,5.07,5.48,16400
33,2019-08-20,5.38,5.63,5.23,5.23,15100
34,2019-08-21,5.13,5.23,4.97,4.97,17200
35,2019-08-22,4.92,4.92,4.67,4.67,13900
36,2019-08-23,4.57,4.57,4.42,4.52,16600
37,2019-08-26,4.52,4.57,4.52,4.57,16200
38,2019-08-27,4.57,4.67,4.57,4.67,15500
39,2019-08-28,4.57,4.67,4.42,4.57,30100
